payment_id,loan_id,payment_date,amount_paid,payment_status
29e1588f-3f91-42b3-a300-0c55fb6ed570,93001,2023-04-27,496.88,Late
9ef46f84-290d-48ed-8974-b2a39eb7ed5c,58199,2023-08-04,136.32,On-Time
5c362fb8-dbc9-40da-97fe-90fe80a16e50,52331,2024-04-05,168.17,On-Time
88aeff80-a9a3-48a1-90d9-d57a2319e4c3,26704,2023-02-09,1087.72,On-Time
d6210046-be36-4262-81f5-a719623ff0e4,12440,2024-09-23,329.4,Missed
d3f7fcd8-9e95-4c13-95ce-21327f147327,28848,2024-04-05,637.67,Late
446e0435-3012-4b3d-b580-7eddc9935362,65878,2023-06-29,903.33,Late
1910c8ea-f388-4308-804c-97cec5cf2a03,73127,2022-12-31,74.32,On-Time
87db2b92-bb96-4f22-9e4d-e75347ec553e,63619,2023-06-23,610.65,Missed
d18c9467-0060-4c19-a132-fe327a470474,41041,2024-02-27,441.61,Late
1d9bf212-a587-4820-aff8-50bbd61b6dfe,82874,2023-10-22,209.26,On-Time
c5c85a40-cd9e-4d79-b7e3-4884644365fd,95414,2022-10-17,187.43,Missed
1f1f5935-ca40-45c4-9fe9-e67036d0359d,82914,2023-04-08,1439.24,Late
6a10eee1-2117-4682-964a-4fde93f2e142,51219,2023-10-18,970.26,On-Time
4cd01288-b55c-4570-871f-f771455d8ce2,75870,2023-09-16,54.55,Missed
1a8a3540-a679-4253-bce4-bd00356590c3,39389,2023-06-09,742.2,Missed
464e950d-0ad2-4dc7-b578-ab4f90ec3aba,66434,2022-12-13,818.95,Missed
b02eeb9d-0eea-4cda-84ae-d88b8e34b41a,19902,2023-12-05,215.84,Late
30307994-4179-4459-bca7-3cfb444cb24e,33606,2023-04-03,1040.8,On-Time
a29a5ae2-af88-4390-a517-8afc63d45543,69583,2023-10-27,53.99,Late
c67e731c-3590-4878-ba22-02b60d78f337,80988,2023-05-01,1292.66,Missed
a0dec5a9-0e53-4b59-a484-e7a39f404260,82764,2024-03-13,372.14,Late
853fabe6-8bd7-4b19-81d3-c7442e2ab596,24474,2024-01-26,454.46,On-Time
bda75b5a-6112-4710-9fca-4940103c1caf,85895,2023-12-25,1289.59,On-Time
b7031216-ca2d-43d8-b2db-2a57cbb11e14,71706,2023-06-21,1098.88,On-Time
ef39ea48-d3a6-4264-9ea0-d99a298b1fb1,56533,2022-10-17,1089.04,Missed
b0e0c1ba-b879-4bf9-8e91-f38bf4979f48,20944,2022-12-04,1131.36,On-Time
3861af1e-e91a-4db2-9541-1429d4078c20,69958,2023-08-20,958.54,Late
9e38ec37-41fc-4e8c-9f53-41a90ebf71f9,97537,2024-09-15,960.33,Late
2d58105f-f441-4965-9030-b36e5ce78c38,35268,2023-01-22,469.49,Missed
a22981b0-f0aa-4cfd-8e38-8dc8ba6ed91b,65641,2024-02-11,295.96,Missed
fa5fd33a-a164-465b-8e0b-b21302aeec31,86135,2023-03-28,135.67,Missed
629d3c14-348d-4388-a4d6-594d4f41a5e4,29892,2024-04-18,533.65,On-Time
80159c67-3aec-4ee6-93b6-590290b17f2d,85526,2023-06-27,1282.75,Late
ab071270-524c-460d-94e1-b0b95d5e4896,15463,2023-01-04,779.42,Late
dd60f3cf-0ef8-48b3-b820-13a340e0384b,10712,2023-01-05,446.44,Late
4b1cc2ea-6576-47dc-8794-d440200cee10,83008,2024-01-19,716.61,Missed
be59903a-83c6-447a-824e-488096c11451,63115,2023-01-26,224.47,Missed
a5abce22-321d-4d10-9769-0567b12006a6,58652,2022-12-16,186.17,Late
51aa447e-39bf-415c-b96e-88457a41b1d8,68492,2023-09-16,312.19,Missed
94c714ae-d281-455b-a028-3710115019df,11659,2023-05-09,393.92,On-Time
9b1b0187-b6e7-490d-bc81-f3723484efe2,97904,2024-04-06,1207.58,On-Time
94212fb4-f2c9-4e2e-9dc0-64b0b0f6caf9,86552,2023-04-18,672.29,Late
b2b40de8-0d9a-4d6c-ae61-cba14633a905,56277,2022-11-10,665.14,Missed
1e982cf7-abee-43b1-aef9-bb4d7ab07096,63260,2023-10-27,914.71,On-Time
43b16e8f-d536-436f-bde6-4efb24b8ab4a,60799,2024-01-27,1246.12,Late
1497d52e-f114-4ecf-a4cd-e16b175848a1,71841,2023-10-12,1100.34,On-Time
a6487155-a7fc-45f4-bdf1-4fdf5c859508,27761,2024-04-01,1451.49,Late
c3af377d-eee0-4276-8a5f-ac82b20aa50f,11907,2023-12-22,797.11,On-Time
f0a010fe-6d48-4801-ac48-71948572d281,44655,2024-06-27,1008.23,Missed
9b66cced-bd06-4e0c-b0b9-fab8a7c83a4f,23652,2023-09-06,694.72,Missed
12a5acd6-d3a5-4813-91e6-4788d99fa5ba,43692,2023-02-20,207.45,Missed
8fa37d66-562f-4a62-82a1-d7eed68429dd,72284,2023-01-29,438.66,On-Time
85d3aac6-6a3f-4c11-ac7d-36c773a3be5c,77945,2023-11-15,234.49,Missed
86a92f5d-798e-4c47-89b5-5d3dad457ab4,52941,2024-07-26,231.73,Missed
4b1279d8-a8ae-4988-b912-9eeb9734900c,18027,2023-03-26,1380.58,On-Time
a849fce8-1087-40df-847d-5f4a253ef9c6,63260,2023-11-24,1134.23,On-Time
ae05e7b2-81ec-4d79-9f10-182795ffc622,47355,2023-11-28,55.67,On-Time
fb26d559-760f-41cd-a307-6118262756d8,65726,2023-03-11,396.26,On-Time
dd6e4277-419e-4794-afaa-5a0495edaa59,32171,2023-09-15,1460.88,Missed
84a32d53-4551-4716-960c-b7212347894f,85895,2023-11-02,606.98,On-Time
d4615368-a739-40c0-9cec-242ee4f02179,36725,2024-04-19,924.59,Missed
a35fb30f-5e02-41c0-9534-72a67de0ccb5,82553,2022-10-23,496.85,On-Time
247f4db9-49ff-49ba-9b7e-bea4b0f7f269,54631,2023-04-10,1443.72,Late
50a827b5-dce8-4991-b75e-20b732c95822,59006,2023-09-15,144.29,On-Time
847c6f29-3eac-47ef-99c1-c94b5c4b4216,96346,2023-11-04,609.05,On-Time
02ecbbd7-5e2f-428b-84ff-77127ddb32ea,87690,2024-02-15,993.67,On-Time
7706a933-19f5-4e69-94fc-7c498e6faafa,38119,2024-03-17,1239.16,On-Time
d6b0e12d-7883-4075-a42b-dff1425febec,88304,2023-11-10,1098.17,On-Time
8abf732f-c42a-4fe1-b9b8-f43316efb7be,72102,2023-06-24,1409.93,Missed
c0669070-d6d0-4445-96d9-71649d4bc77b,76420,2023-10-01,1280.65,Missed
14813e15-e66d-445b-85fc-a043769b9cac,96797,2023-06-01,781.32,On-Time
91493473-51c6-45af-aa94-0ddc58eb7702,66053,2024-04-24,1405.07,On-Time
ec305ad2-92f9-4eab-9400-07b68d4091c0,43214,2022-12-31,1001.6,On-Time
856b3484-2592-426b-a4a2-fff74d4eeda8,95414,2023-02-21,598.42,Late
5eab255c-6ab7-4dc3-a7b4-b07510d9e5ae,24789,2023-04-06,951.57,Missed
37f2100e-7d0e-468f-9a5f-1272a63b49bf,48450,2023-09-04,245.24,Late
aa1dbba6-98ae-4013-8551-eee916c46b1e,37609,2022-12-10,359.42,Missed
3392ae81-69ef-4148-a174-9ae4278bc04f,81693,2022-09-30,565.28,Late
578e6437-5f01-4061-9153-493bdbf3478d,56728,2024-08-27,306.44,On-Time
b96d90c5-91a2-4dd8-92a5-8a19783d39ba,20284,2023-05-16,588.34,Late
8000cc32-bac9-4ed6-98b6-0bddb0d4cc5d,70412,2024-01-21,582.38,On-Time
06f4ee97-7a39-4e0e-983f-32cd5aba7f69,41454,2024-01-14,1146.74,On-Time
8bcdda66-c9e7-451e-868b-fa6c104f6d54,85598,2024-09-16,262.48,On-Time
ec2807cf-d8a5-4539-bdd1-6acaf16fdaa4,43251,2024-05-25,323.02,Late
8ddfe04f-defa-44f0-86de-5a8088c30827,65010,2024-02-07,1086.64,Missed
ea5be651-6bb0-4679-a124-48af48cfcdd5,96797,2024-04-30,1290.52,Missed
e3ed5634-8c59-4ee8-803f-2f34ba9d2118,64881,2022-11-20,793.52,Missed
1e079e1a-c483-446e-b464-88523288ac4d,48905,2024-08-11,405.42,Late
efbf9f1e-7e47-42f8-b093-0d5eede14a88,79624,2024-05-02,591.26,Missed
0a945504-57cf-4b1c-aecf-9390d4fe6187,16674,2023-02-03,1082.96,On-Time
d6bde05b-8912-40e6-8e9e-bec399f23fc5,22846,2023-04-22,1038.79,Late
86274d3f-b849-45db-bfb7-4547b9ee1051,39220,2023-09-20,404.22,On-Time
6f5df842-60d4-48f9-bbf3-80f2f031758c,63404,2023-07-03,336.7,Late
7466d96a-ac7b-4fc5-ac64-94b5484eacbf,36495,2023-08-23,676.82,Late
1de2c698-b1a6-4cd0-9c71-b08e4164bdd8,43967,2023-02-28,799.21,On-Time
31390ac8-040c-4016-8f46-5712e069ec03,59006,2024-05-24,1374.69,Missed
36f3576e-be5a-41ef-90ef-6d558573f53c,88808,2023-08-15,1415.94,Late
9b1b1a88-49f9-41fd-b5b7-face79b1f2fb,31253,2023-06-27,522.48,Late
7e079189-6e1f-4b4e-8bff-94722fd7487f,82732,2024-05-15,201.31,Late
1491387b-1fb8-438c-9a4f-2055ea1cedba,58035,2023-05-09,1364.75,Missed
e8e72edd-fc93-4af9-a357-c93c4e7792c2,19157,2024-06-21,82.74,On-Time
a3674977-7f1e-417b-a464-f3092b5ebc96,52331,2024-05-31,257.83,Missed
277a9c72-c9e7-4b6b-9493-422a8b64b161,16047,2023-10-28,188.76,Missed
535235a4-9381-4653-995d-f08e9aad5435,25112,2023-08-28,857.74,On-Time
ec9e547b-ca8b-420a-86fd-6e00625c4632,93991,2022-10-30,330.38,On-Time
8a69e541-14c3-4307-917c-97f37198d01a,10712,2023-02-04,459.79,On-Time
a44c038b-c66d-4919-afb0-b1760d7601d1,11392,2023-10-23,641.04,Late
46b2e49c-b4b8-4cf5-a7e4-235eb9467e5e,70731,2024-04-12,612.07,On-Time
