assessment_id,customer_id,loan_id,credit_score,loan_amount,risk_level
278087ea-2366-4097-bf53-45d09dccd3f5,1568,31298,798,48730.21,High
35119925-bb5b-4858-8469-6db999f112d8,2402,11980,782,31908.18,Medium
cb6dec85-8d60-4b3e-ac18-d1a6d534b2b3,4999,91972,794,9346.15,Medium
1e20648d-1b58-45ba-8266-ac1539244034,7598,25669,326,29970.77,Low
4106823f-cb40-4ce1-8fd4-d2cb244667ea,1178,72121,768,44436.49,Low
9fd55298-e858-4b00-bdc8-af3c8ae85572,2788,69794,451,25105.02,High
5e94783d-80e7-406f-8869-8e6beb520416,7227,80757,670,1441.85,High
c1cd9a85-62d0-4a4e-b084-45aa0e30b72f,8087,75329,612,48086.28,Medium
77244eef-2ede-4a4b-bb52-89501dbe54a9,6019,57882,519,28560.08,High
6d7b07d4-599c-45c5-9f6b-6c3e99b9b036,1542,56618,846,33742.37,Medium
6a3f9891-f281-4dad-a8d2-23fceffc839c,9820,61712,528,18387.58,Medium
70e4146f-54c7-49cd-be52-a1a50219f632,7409,25162,518,22103.62,High
0a24adaa-0f11-423d-ada3-1d1fda02e38e,9293,24156,795,7792.07,Medium
414ca056-ef11-4b2b-80f4-ed3d9ef7b44e,5496,24484,609,17577.97,Low
6d0c99dc-b2b7-4f7f-9acb-4d152c61673a,5495,69244,310,20427.89,High
8ffe1d5f-e2ee-4707-9505-a45107439e13,5511,40287,566,22777.76,High
407924fe-56b7-4ca4-896d-504fecf3f145,1443,52580,610,20905.36,High
576f3fd3-25ae-49dc-811a-34183509f022,6043,96492,744,37529.12,Low
381826d3-537a-442e-a789-fd19a515efa5,6382,68540,825,32322.46,Low
f0f32e3b-316d-49b9-8425-a87f09925e32,5300,40444,390,28592.25,High
4fd8e395-382f-400e-8850-49857a408ee9,3161,77393,538,21917.33,Low
3fa9dd58-49c5-4679-b8d6-a3cd9c9db03e,6840,22159,671,38505.97,Medium
667d7f42-6cc0-46ad-8b41-ac77d05b91b1,5082,37441,483,34848.34,High
f8072952-ac75-42c5-9977-4301457b4f0c,7283,81693,790,30483.79,Low
d90b6c3f-ebae-4aa7-b2c6-fb4a375a64a2,1720,47286,806,23721.75,Low
6f293196-b489-4348-b290-a950b609ce18,5486,56995,810,20500.88,Low
e4b9f78c-4cca-41a3-acbb-1d5d18ba01c4,1064,85785,429,45567.66,High
42014890-3b6a-4d28-9447-1886f8640241,9942,95438,424,22465.46,Low
471df32a-3f41-4b97-a9f5-716730ac2eb7,2702,35971,780,27958.83,Low
5e228148-8451-44bf-8f36-1677f9dc74c3,3075,56728,585,37941.98,Low
776cc32a-dceb-4ed8-bee5-8436508c0261,9103,60868,367,8840.9,High
43f08d4f-046e-42c1-ae57-8dd602461f36,9514,63156,436,9786.27,Low
1cbcaead-d215-4a61-bc9f-6b4d0c2822ab,7175,17886,672,28077.74,High
ada128af-b491-472b-9bee-c6e59ae26f28,3075,37489,718,47841.76,High
4e9f7210-e073-4fb2-b087-d7e3fa5d1b72,5844,26698,727,19821.01,High
55107b83-c101-490f-b9e5-d53c5739db96,1381,39743,429,39996.32,High
fce58d83-19aa-4fc2-a0e1-704fe9b374b9,2095,46836,338,34970.12,Medium
065bcd2d-eba2-4c0f-bbe1-635122171e1a,9869,51600,371,34302.02,High
57c65823-8260-43ad-83bc-d3e53ecfa3c0,3715,27816,468,48098.01,High
f04c0743-f6cc-4df5-82c0-8336aa14a20c,4408,82882,761,3040.7,Low
33719cbf-5032-4df6-95ad-06ce50e92ca7,9354,76717,331,16604.05,High
27fe3980-6f80-4f97-88d5-3d44709cc003,3423,35442,691,45360.17,Low
6c767bfe-dd10-4717-9477-1433be24f33f,9401,56790,667,43971.07,Medium
4a1b943c-4f97-4646-ae2f-72bb3d370dea,3652,60864,643,20054.51,High
3b965f6d-886a-4682-9dd7-30346a711be9,6590,63575,811,8226.85,Medium
e029b7ba-8382-4706-b190-4492743214b3,6738,14727,550,13870.44,Low
8ca9b411-d809-445a-afaf-c5ebaff6ac53,9858,15437,830,21589.53,Medium
a0adda87-d135-4b38-86fe-f2c0755227b6,2174,27888,333,33217.6,Low
82a7395f-198c-46a2-8720-3ae1a4e2b30c,7332,52427,490,36296.14,Low
eb0f2b19-966f-43ff-9b70-8693a4c43650,5522,65010,380,45745.05,High
d2269399-9dfa-4302-b094-1337119bad92,9897,41548,722,34874.85,Low
ea294194-f819-4d46-8b7e-00a4de53a26a,9011,21829,316,11875.93,Medium
711b2794-2591-4830-8f9c-c14bf532b935,3790,10761,554,3818.61,High
0a2ab9b0-8352-493a-b6d6-6052a7612010,4878,29636,507,9810.07,High
25f57d9e-e3b2-4ba7-9116-56cd3ab0e1af,5070,64588,378,32484.8,Low
df2a4ce4-35bb-4b88-b2ee-4b3c674af516,2137,76650,519,1073.99,Low
b64a1d4a-d3ca-4b2e-96a0-ca201e8a1bcb,1094,79419,342,41091.1,Low
a927d444-a5fd-41bd-a86c-aee8b18db5ab,2457,95187,696,44120.82,High
4d48f5a3-ce74-42a9-abfe-f4dc38b97aa7,9103,31248,552,36639.37,High
b10f8d4f-dcd8-42f3-8a3e-5c87bd8cfad5,2002,62932,370,7396.3,Medium
0967b4ef-116a-4cec-a48b-5eede2b93d57,9167,82548,548,43016.29,High
5cdc3e09-a364-4db9-a13e-9ec455e1fa6d,9567,47192,685,5042.04,High
4a4574dc-95f8-4f3d-8df6-63d49eafe3af,4159,52169,638,13081.01,Low
8b7df84c-2f9f-44e2-80d5-281ddefb2fc6,3011,58035,466,37392.64,Medium
ce87c146-ac80-4cc5-adc4-bca3fb32edfd,4027,95305,808,47714.8,Medium
746f9c19-9eed-4b2d-b0d3-e9a93ec86de2,6944,75329,842,15720.85,Low
f97bb558-8550-48cb-8bad-9c96a95713cc,2723,93978,816,46196.85,High
52bbb86b-eaf9-4031-988c-b1046aa3dbfa,8562,37753,650,4424.32,High
f1b61753-d10f-4e92-b530-baaf95d41bd3,3952,35316,439,25655.19,Medium
d1d3aa1e-b930-4945-8cf5-059ed86c3285,6782,39591,375,38339.24,Medium
f0b6732e-5fc3-4442-8393-3687855636d5,6962,56354,639,29104.45,Low
6922d692-dde3-4940-a2a9-b7c2db5a8bb0,8562,63718,701,25855.14,Low
8f0567c9-c798-4ea0-9852-7e21ef4168b2,3541,29892,444,29782.07,Low
2b23f20a-df21-41e4-a58c-7f9931ec1e91,6537,37584,836,27476.12,High
440126e8-69da-445f-bfcc-8b6158126832,9936,24484,690,44496.94,High
4fe169a3-a0fc-407b-8d42-21563ea20733,7149,63404,457,17663.47,Low
78c6382f-88c3-4702-ae8b-ac49f8706d9f,1696,37532,693,49602.65,High
92b8824e-70d6-4b58-b724-7db7799eea2b,5938,27982,372,26946.15,High
64a89e28-57ff-485b-b2df-b7de15ddbedd,6450,22409,307,4039.73,Medium
fd1f66a0-c241-42a5-aafa-28790120bc39,3790,82844,392,34275.74,Medium
c1cef252-9748-4281-b2b5-cef440d4b1c3,9522,97454,767,28090.56,High
b92b9072-9ffe-4668-b860-a4f56b51d02b,7249,95414,608,4798.04,High
72c885a7-b837-46a7-a773-dc1ec5a32bd8,4003,68253,791,30887.86,Low
8a10a971-4cb3-4973-8479-37327d1f17c9,2190,79571,552,11322.07,Medium
a7f9eaf9-16ca-4974-b431-a72a894a4afd,3642,64784,553,42035.31,Medium
afa6a52b-e814-42e0-8925-b93710fbacc7,1710,40920,487,4236.68,Low
75cfad69-2e09-4804-9e9e-e482fa0ebdd9,3951,52743,565,25641.82,High
4bd9969f-c29e-4212-8060-49e117c9c5ff,7316,37251,583,10510.09,Medium
